ID,Site,Phorid,Crithidia,Apicystis,CBPV,DWV_KV_VDV,ABPV_KBV_IAPV,BQCV,SBPV,SBV,B-actin
B157,Homeless,1,1,0,1,0,0,0,0,1,1
B164,Homeless,1,0,0,0,0,0,0,0,1,1
B168,Homeless,1,1,1,0,0,0,0,1,1,1
B172,Homeless,1,0,0,1,0,0,0,1,1,1
B173,Homeless,1,0,1,1,0,0,0,0,1,1
B196,Homeless,1,1,1,1,0,1,0,1,1,1
B197,Homeless,1,1,0,1,0,1,0,0,1,1
B198,Homeless,0,0,1,,,,,,,
B203,Homeless,0,0,1,1,0,0,0,1,1,1
B213,Homeless,1,1,0,0,0,0,0,1,1,1
B216,Homeless,0,0,1,1,0,1,0,1,1,1
B217,Homeless,0,0,1,1,0,1,0,1,1,1
B219,Homeless,0,0,1,1,0,1,1,1,1,1
B220,Homeless,1,1,1,1,0,1,1,1,1,1
B222,Homeless,1,0,1,1,0,1,1,1,1,1
B223,Homeless,0,0,1,1,0,0,0,1,1,1
B237,Homeless,1,1,1,1,0,0,0,0,1,1
B238,Homeless,1,0,1,1,0,0,0,0,1,1
B256,Homeless,1,1,1,1,0,0,0,0,1,1
B257,Homeless,0,0,0,1,1,0,0,0,1,1
B258,Homeless,1,0,0,1,1,0,0,0,1,1
B38,Homeless,1,0,1,1,0,0,0,0,1,1
B47,Homeless,1,1,1,1,0,1,0,1,1,1
B48,Homeless,0,1,1,1,0,1,0,1,1,1
B60,Homeless,0,0,0,1,0,1,0,0,1,1
B61,Homeless,1,0,1,1,0,0,1,0,1,1
B62,Homeless,0,0,1,1,0,0,0,0,1,1
B63,Homeless,1,0,1,0,0,0,0,1,1,1
B70,Homeless,0,1,1,1,0,1,1,1,1,1
B129,La Colina,0,0,1,1,0,0,0,0,1,1
B130,La Colina,0,0,1,1,0,0,1,1,0,1
B131,La Colina,0,0,1,0,0,0,0,1,1,1
B152,La Colina,0,0,1,1,0,0,0,0,1,1
B153,La Colina,0,0,0,0,0,0,0,1,1,1
B175,La Colina,0,0,0,1,0,0,0,0,1,1
B176,La Colina,0,0,1,0,0,0,0,0,1,1
B177,La Colina,1,0,1,1,0,0,0,1,1,1
B272,La Colina,0,0,1,1,0,0,0,0,0,1
B273,La Colina,0,0,0,1,0,0,0,1,0,1
B274,La Colina,0,0,0,1,0,0,0,0,0,1
B275,La Colina,0,0,1,1,0,0,0,0,0,1
B276,La Colina,0,0,1,1,1,0,0,0,0,1
B277,La Colina,0,0,0,1,0,0,0,0,1,1
B45,La Colina,0,1,1,1,0,1,1,1,1,1
B46,La Colina,0,0,0,1,0,1,0,1,1,1
B82,La Colina,0,1,1,1,0,1,0,0,1,1
B83,La Colina,1,0,0,1,0,1,0,0,1,1
B84,La Colina,0,0,1,1,0,0,0,0,1,1
B85,La Colina,0,0,0,1,0,0,0,1,0,1
B1,Laguna,0,0,0,0,0,0,0,0,0,1
B195,Laguna,1,1,0,1,0,0,0,1,0,1
B75,Laguna,0,1,0,0,0,0,0,1,1,1
B76,Laguna,0,0,0,1,0,0,0,0,1,1
B77,Laguna,0,1,0,1,0,0,0,1,1,1
